[supervisor] 2026-08-17T22:26:45+05:30 waiting for data preparation to finish...
[supervisor] 2026-08-17T22:26:45+05:30 data ready: 5000186213 tokens
[supervisor] 2026-08-17T22:26:45+05:30 attempt 1: resuming from step 14000
[supervisor] launching on CUDA_VISIBLE_DEVICES=0 with nproc_per_node=1
Model vocab_size 50304 > tokenizer vocab_size 50259 (45 unused padding rows, kept for tensor-core alignment)
Data: 4,900,186,213 train tokens / 100,000,000 val tokens (9,570,651 windows at stride 512)
Model: medium (123,587,328 parameters)
Resumed from checkpoints/medium/step_14000.pt at step 14000
step  14402 | train_loss 3.2911 | lr 1.62e-04
step  14403 | train_loss 3.2255 | lr 1.62e-04
step  14404 | train_loss 3.2128 | lr 1.62e-04
step  14405 | train_loss 3.2181 | lr 1.62e-04
step  14406 | train_loss 3.2515 | lr 1.61e-04
step  14407 | train_loss 3.2540 | lr 1.61e-04
step  14408 | train_loss 3.2784 | lr 1.61e-04
step  14409 | train_loss 3.2457 | lr 1.61e-04
step  14410 | train_loss 3.3041 | lr 1.61e-04
step  14411 | train_loss 3.2495 | lr 1.61e-04
step  14412 | train_loss 3.2907 | lr 1.61e-04
step  14413 | train_loss 3.2518 | lr 1.61e-04
step  14414 | train_loss 3.2354 | lr 1.61e-04
step  14415 | train_loss 3.2060 | lr 1.61e-04
step  14416 | train_loss 3.2662 | lr 1.61e-04
step  14417 | train_loss 3.2283 | lr 1.61e-04
step  14418 | train_loss 3.2653 | lr 1.61e-04
step  14419 | train_loss 3.2514 | lr 1.61e-04
step  14420 | train_loss 3.2727 | lr 1.61e-04
step  14421 | train_loss 3.2634 | lr 1.61e-04
step  14422 | train_loss 3.2582 | lr 1.61e-04
step  14423 | train_loss 3.2710 | lr 1.61e-04
step  14424 | train_loss 3.2158 | lr 1.61e-04
step  14425 | train_loss 3.2954 | lr 1.61e-04
step  14426 | train_loss 3.2858 | lr 1.61e-04
step  14427 | train_loss 3.2610 | lr 1.61e-04
step  14428 | train_loss 3.2185 | lr 1.61e-04
step  14429 | train_loss 3.2316 | lr 1.61e-04
step  14430 | train_loss 3.2466 | lr 1.61e-04
step  14431 | train_loss 3.2198 | lr 1.61e-04
step  14432 | train_loss 3.1987 | lr 1.61e-04
step  14433 | train_loss 3.2128 | lr 1.61e-04
step  14434 | train_loss 3.2374 | lr 1.61e-04
step  14435 | train_loss 3.2649 | lr 1.61e-04
step  14436 | train_loss 3.2699 | lr 1.60e-04
step  14437 | train_loss 3.2284 | lr 1.60e-04
step  14438 | train_loss 3.2215 | lr 1.60e-04
step  14439 | train_loss 3.2473 | lr 1.60e-04
step  14440 | train_loss 3.2475 | lr 1.60e-04
step  14441 | train_loss 3.2420 | lr 1.60e-04
step  14442 | train_loss 3.2476 | lr 1.60e-04
step  14443 | train_loss 3.2252 | lr 1.60e-04
step  14444 | train_loss 3.2375 | lr 1.60e-04
step  14445 | train_loss 3.2322 | lr 1.60e-04
step  14446 | train_loss 3.1727 | lr 1.60e-04
step  14447 | train_loss 3.2480 | lr 1.60e-04
step  14448 | train_loss 3.1741 | lr 1.60e-04
step  14449 | train_loss 3.2338 | lr 1.60e-04
step  14450 | train_loss 3.2335 | lr 1.60e-04
step  14451 | train_loss 3.2085 | lr 1.60e-04
step  14452 | train_loss 3.2328 | lr 1.60e-04
step  14453 | train_loss 3.2094 | lr 1.60e-04
step  14454 | train_loss 3.2021 | lr 1.60e-04
step  14455 | train_loss 3.2786 | lr 1.60e-04
step  14456 | train_loss 3.2495 | lr 1.60e-04
step  14457 | train_loss 3.2252 | lr 1.60e-04
step  14458 | train_loss 3.2705 | lr 1.60e-04
step  14459 | train_loss 3.2429 | lr 1.60e-04
step  14460 | train_loss 3.2704 | lr 1.60e-04
step  14461 | train_loss 3.2258 | lr 1.60e-04
step  14462 | train_loss 3.2588 | lr 1.60e-04
step  14463 | train_loss 3.2450 | lr 1.60e-04
step  14464 | train_loss 3.2225 | lr 1.60e-04
step  14465 | train_loss 3.2210 | lr 1.60e-04
step  14466 | train_loss 3.2290 | lr 1.59e-04
step  14467 | train_loss 3.2611 | lr 1.59e-04
step  14468 | train_loss 3.2174 | lr 1.59e-04
step  14469 | train_loss 3.2566 | lr 1.59e-04
step  14470 | train_loss 3.2337 | lr 1.59e-04
step  14471 | train_loss 3.2295 | lr 1.59e-04
step  14472 | train_loss 3.1904 | lr 1.59e-04
step  14473 | train_loss 3.2478 | lr 1.59e-04
step  14474 | train_loss 3.2427 | lr 1.59e-04
step  14475 | train_loss 3.2549 | lr 1.59e-04
